# Exact DSR local PointLight specular receiver census.
# Derived from dsrrl.shader_math_* canonical catalog; HemEnv/HemEnvLerp aliases collapse to identical DXBC.
receiver_class	code_sha256	code_size	representative_shader_index	alias_count	representative_shader_name
fixed_spc_pntss	c3d1a832a5e27fbfba72b0bea74ce4f1ca965d52c288565defeceab348eacce4	18696	1109	2	FRPG_Phn_DifSpc______Lit____HemEnvLerpPntSS.fpo
fixed_spc_pntss	d9e49ed4a2004d3798e49625b0d9f28a2bafe2d8cee13c7ea443026393f44550	22408	1128	2	FRPG_Phn_DifSpc_________Csd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	3275e689d64fa2ab1fc6d37bf031d852f8f109df8205f31e54282351d95eae6c	21344	1147	2	FRPG_Phn_DifSpc_________Sdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	fb11c93bf241354d0a426e7bf8befa5c33ab989a4a0bd3557b5eb70a03e87f9f	18284	1166	2	FRPG_Phn_DifSpc_____________HemEnvLerpPntSS.fpo
fixed_spc_pntssss	6869c41a14152fc12a1f798148b9e10343387e874cb0454078cc36595260b945	28180	730	2	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	8801c10b21efe67ccc98cddf4120479e1def049c522f23668c4f25fa7f3b23bf	27116	749	2	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	34e0e705f3867f9c76287562dd17b3ef8bd06dfb92487de95eb6f25c477b6c05	23992	768	2	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	b030eb1dc8e2ced0245e6faf3bdc2db56bd67948de34725b1ac2cf3923751287	27724	787	2	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	80bedd4c8d4b476759065f7c493d7c74f27bf298615a258c4b4f7185dbe988c4	26660	806	2	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	b827fa1c558795fc703f0498414c96f333d1405e3940ad48766ec8f5a9690058	23544	825	2	FRPG_Phn_DifSpcBmpMul_______HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	3cbc73731a1e848ccd97d6e490aa43ee7b8afc535cc104fe47d3e8751f93b631	27396	844	2	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	213cd2de59f19a673c9e79bb00f727e43e5dcefc1e4cf91a08e678d1bd7e611c	26424	863	2	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	8f30f6f7a3347eaca8ba481c6836488b4bdd66cf2e3e8c394009c0e80dff28ed	23296	882	2	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	2aba725e0572f19481d13a21b9b36047e25291b1231197458b5a0869eee6660f	27064	901	2	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	161a12eab0f620664d32f42bafa6b04a058955bc53821cf4cd9332b25e497a4b	26000	920	2	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	04a3dd377b415673f6fbac8d345c90bf1aa0ef8daba7d3d620463167cac1cb38	22976	939	2	FRPG_Phn_DifSpcBmp__________HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	e007197d658de20b35364d58ac262957c954866207871676fea855bf489c8f6b	26380	958	2	FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	1767a2154b0d3a0ce4a583d884b33fb145afaa59a53edaee483a2c19de385b4b	25316	977	2	FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	fb7d3c8f7bb97738155552083a466a0af33659549d823514f9ea11f3d936051c	22284	996	2	FRPG_Phn_DifSpc___MulLit____HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	3c18ba9b75bd41d09f49e5a9d401410d8857eb3613b7e11c9d4fedc75a69f693	25924	1015	2	FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	f7e979dff28656cb38b8523d8caff3ffee8db0859d632498bc8cf3dc358d383a	24860	1034	2	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	fe0a7b42cb37724b9330bb4504342a4d1cbef6c67e5885bcbc98a39deaff4637	21740	1053	2	FRPG_Phn_DifSpc___Mul_______HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	cdfd0adfbd11b8942369dcc91cd44b3863ed6c6dd6a6be1303e9a734874ece32	26352	1072	2	FRPG_Phn_DifSpc______LitCsd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	6efa48367fbd7c0448b516849531aa6cc303f351d20ceab943c436377ee05e8b	25380	1091	2	FRPG_Phn_DifSpc______LitSdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	241ff1de20b33a829ad9974c4c8a0216c1e4ec1b8b504668b52cc0719da66405	22256	1110	2	FRPG_Phn_DifSpc______Lit____HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	1b754203020366308058accd1823d15aed3ccaf105e6153631a9543ec401475d	26024	1129	2	FRPG_Phn_DifSpc_________Csd_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	928d33c1da10debd9debc9f9b51dd5d1609a2e96e51601392c52125173cfd9f8	24960	1148	2	FRPG_Phn_DifSpc_________Sdw_HemEnvLerpPntSSSS.fpo
fixed_spc_pntssss	0a2a5f485e8eb6d9928d58a96f88327c5e3e42f04cc4d02c7ebb9a18288385ca	21936	1167	2	FRPG_Phn_DifSpc_____________HemEnvLerpPntSSSS.fpo
