# DSRRL Diffuse exact-resource pair corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# canonical pair count: 528
# represented safe FLVER rows: 3446
# unique diffuse target hashes: 524
spec_hash	diffuse_hash	logical_names	row_uses
398585d3191eb301	1638132e0d51bd87	LG_F_2540_LG_M_2540_s + LG_F_2540_LG_M_2540	6
3a2307169b5ac021	fa354e2355b684e7	LG_F_9280_LG_M_9280_s + LG_F_9280_LG_M_9280	6
3a474794029eb3db	b5b54d6ad2c850d1	HD_M_2520_s + HD_M_2520	6
3a6766df25f1d534	a38697e20c0280ea	BD_F_9350_1_s + BD_F_9350_1	6
3b302e290e6c0975	d1542f9adf8f80f3	LG_M_9610_s + LG_M_9610	6
3b3c8ece9967d1d9	7db6905ddfb4674f	AM_M_9521_AM_F_9521_s + AM_M_9521_AM_F_9521	4
3b42ea1a3967584b	d14dc39adf8a5dc1	LG_M_9630_s + LG_M_9630	6
3b699611ccab87ef	dd18be6504cfdb9d	BD_F_9460_2_s + BD_F_9460_2	10
3bb68a517989120c	95d31f61b35417b2	BD_M_9620_BD_F_9620_2_s + BD_M_9620_BD_F_9620_2	6
3d6ac82927f20be3	1361262c120c9049	AM_M_9350_s + AM_M_9350	8
3d90480314bdf70d	aca4051d12230cdb	HD_F_2520_HD_M_2520_s + HD_F_2520_HD_M_2520	6
3dc93df3b3ec771f	1ea057d5a1af384d	BD_M_9530_1_s + BD_M_9530_1	12
3e010894e965f8df	8031581d990f610d	BD_M_9340_2_s + BD_M_9340_2	8
3e0866e65837172d	c20d14e20a49ae3b	LG_F_9720_LG_M_9720_s + LG_F_9720_LG_M_9720	7
3e5fd05f72c503be	733cf42b060e5e3c	BD_M_9440_2_s + BD_M_9440_2	15
3ec3eacca19b760a	50e7276104f0b390	AM_F_9450_L_s + AM_F_9450_L	3
3f136ab44573f534	f139182bfed7a0ea	AM_M_9720_s + AM_M_9720	2
3fb82cbabe695df1	1c9ce32c1770ed37	AM_M_9280_s + AM_M_9280	2
4175484cc2aaa840	6fdcd6665d27175e	HD_F_9420_s + HD_F_9420	8
420bc8f8d2f4ec4d	38e1c5853bcd821b	LG_M_9520_LG_F_9520_s + LG_M_9520_LG_F_9520	10
4277658d42182199	a9c23e57f9ecae0f	AM_M_9349_AM_M_9340_s + AM_M_9349_AM_M_9340	4
431b5187baf21bd1	1604dc6d4b86f9d7	LG_F_9240_LG_M_9240_s + LG_F_9240_LG_M_9240	8
43af580fa9d7a921	a3b81f44877a45e7	AM_F_9270_AM_M_9270_s + AM_F_9270_AM_M_9270	2
45914ad826c59491	a9ae1d7d6bff4197	BD_F_9450_1_s + BD_F_9450_1	6
45a48f7bb424ab59	9b60df64935b24cf	LG_F_9700_LG_M_9700_s + LG_F_9700_LG_M_9700	4
45d743ab903e4563	9695bf8ba713adc9	BD_A_9700_2_s + BD_A_9700_2	4
460886a1781bd1c1	83518d9889f13c47	HD_F_2540_HD_M_2540_s + HD_F_2540_HD_M_2540	4
466d96b72b6d7576	c764564d0398a0e4	AM_A_9700_s + AM_A_9700	4
46a6a127fc2001c5	023e86468b8e3f83	BD_M_9710_BD_F_9710_1_s + BD_M_9710_BD_F_9710_1	6
477ae0bd57a07bf0	7f6c79772869438e	AM_F_9480_s + AM_F_9480	4
47f7ee57daaf793b	af069f9acc3a9871	LG_M_9270_s + LG_M_9270	2
489ca85e53a4d460	da6a6a9ae4d3e4be	LG_M_9730_s + LG_M_9730	12
49c820f0c142ede4	9a82fc773810e5da	AM_F_9350_s + AM_F_9350	4
49d52e95c5fa692f	afaa59fc4a31d8dd	BD_F_9320_1_s + BD_F_9320_1	8
4a6a68581391157f	648223b53f282bed	BD_F_9529_BD_F_9521_2_s + BD_F_9529_BD_F_9521_2	8
4a75371a99c1ddc1	4a3a3735fe146847	BD_M_9370_1_s + BD_M_9370_1	6
4c4b6deadc743eef	c0daf99ad678ba9d	LG_M_9410_s + LG_M_9410	2
4c662b815c5a7dca	351e34268c10f350	BD_M_9350_2_s + BD_M_9350_2	4
4ca05252b95dc251	5a812828a954bc57	BD_F_9280_BD_M_9280_1_s + BD_F_9280_BD_M_9280_1	8
4ce07bd82a87a9d4	a9ae1e7d6bff434a	BD_F_9450_2_s + BD_F_9450_2	6
4cfc23eff0ba282a	e78f050e212497f0	HD_F_9529_HD_F_9521_s + HD_F_9529_HD_F_9521	2
4d1a2eba066cb552	ef5478dbbf0f0b48	BD_A_9560_1_s + BD_A_9560_1	10
4d50a0bbb41a9972	d6f415806ac0d0a8	BD_M_9380_1_s + BD_M_9380_1	8
4dadb1d07fa1e601	43dbb22a240cb887	BD_F_9610_BD_M_9610_1_s + BD_F_9610_BD_M_9610_1	6
4dc3b6fe5a0e6b2e	a9d091c7235e762c	HD_M_9720_s + HD_M_9720	4
4eced228009a07c8	023e87468b8e4136	BD_M_9710_BD_F_9710_2_s + BD_M_9710_BD_F_9710_2	4
4f37222ff41683f6	0c5a84de310d8b64	BD_F_9521_1_s + BD_F_9521_1	10
50ab40c950b6015a	da16d87d6a3ecda0	BD_A_9630_1_s + BD_A_9630_1	2
50e7266104f0b1dd	7f46f77728494a6b	AM_F_9450_s + AM_F_9450	9
51b7d8d168e40329	c76ec84d03a1b71f	AM_A_9730_s + AM_A_9730	2
5248c85ffec23bb5	3d9aa7d1ba4beb33	LG_F_9480_s + LG_F_9480	20
529d681a9e3be3c4	4a3a3835fe1469fa	BD_M_9370_2_s + BD_M_9370_2	4
52f7de2ff6cc9c68	71e89fd1d8044896	LG_F_9230_s + LG_F_9230	9
5321d53b52b9a797	d99b1e4d0e2a4855	AM_A_9570_s + AM_A_9570	8
53305fc5717bb10d	b2aab3a4e9f436db	HD_F_9510_HD_M_9510_s + HD_F_9510_HD_M_9510	2
53bc7bada1b43c61	f064c7c35eb4a427	HD_A_9390_s + HD_A_9390	4
541b307218ddf7ae	af11119acc43aeac	LG_M_9220_s + LG_M_9220	6
54acd536e1489895	0284be4d34f2f9d3	LG_F_9560_LG_M_9560_s + LG_F_9560_LG_M_9560	8
54d44fc509f770f6	b7cb4a9ad139b064	LG_M_9350_s + LG_M_9350	4
557398d886d9ac75	a0c0e2c71e1f6bf3	HD_M_9400_s + HD_M_9400	2
558654c9b1d4fb4b	a0ba76c71e1a48c1	HD_M_9420_s + HD_M_9420	4
55ba97ac76a67ef9	8a0c6e1d9efacdaf	BD_M_9341_1_s + BD_M_9341_1	10
55d5e2d0841bec04	43dbb32a240cba3a	BD_F_9610_BD_M_9610_2_s + BD_F_9610_BD_M_9610_2	6
562ae6d10acf19d9	095c0a0aaf526f4f	HD_M_9389_HD_M_9380_s + HD_M_9389_HD_M_9380	4
562c0ed02acc0970	cc1e41c736b3950e	HD_M_9340_s + HD_M_9340	14
5668fbabf853167d	4fef1f8581501ccb	AM_M_9230_AM_F_9230_s + AM_M_9230_AM_F_9230	2
56d8535f8032fa97	733cf72b060e6355	BD_M_9440_1_s + BD_M_9440_1	18
57548352c0014d94	5a812928a954be0a	BD_F_9280_BD_M_9280_2_s + BD_F_9280_BD_M_9280_2	6
587527f0b6b3ac0a	f3340d384a73f990	BD_M_9379_BD_M_9372_2_s + BD_M_9379_BD_M_9372_2	2
58fd4770f2ed4ea7	ef0e08ecb5031a25	BD_A_9600_fur_s + BD_A_9600_fur	2
593f4fdd6f7464da	c9d6049adba60520	LG_M_9570_s + LG_M_9570	16
595304664f7d570c	77ea4877247bd4b2	AM_F_9710_s + AM_F_9710	2
5975809273d455dd	084f157c8ac84e6b	LG_M_9389_LG_M_9380_s + LG_M_9389_LG_M_9380	6
5a191d6065847ec1	54f966c6e41f2147	LG_F_9500_LG_M_9500_s + LG_F_9500_LG_M_9500	8
5a8a26467db32021	380b94672fb7e4e7	HD_A_2870_s + HD_A_2870	4
5b2e1e5e74d7096d	e5da0ced77f9d97b	BD_F_2550_BD_M_2550_s + BD_F_2550_BD_M_2550	6
5b86e5bdb2d13e80	b5c64b6ad2d6c09e	HD_M_2550_s + HD_M_2550	2
5c7e7a322cb6db81	b0fd870815ca3207	HD_M_9710_HD_F_9710_s + HD_M_9710_HD_F_9710	8
5c9ea9b30fc68921	b249c766f5ae25e7	HD_F_9440_HD_M_9440_s + HD_F_9440_HD_M_9440	6
5d09c8ac7a68943c	8a0c6f1d9efacf62	BD_M_9341_2_s + BD_M_9341_2	8
5d7a47d02e8c794b	cc1e42c736b396c1	HD_M_9341_s + HD_M_9341	14
5e4fbb58eb8dc682	724f71e11b34409b	BD_M_body_M_s + BD_F_body_M	1
5e4fbb58eb8dc682	777ed02aecc3b938	BD_M_body_M_s + BD_M_body_M	224
5e4fbb58eb8dc682	cf6e2339c3593fb8	BD_M_body_M_s + BD_M_body	1
5ea13d4f17f44785	ae41c54cf59a1243	AM_A_9200_s + AM_A_9200	2
5ed60dbf55ffa62a	886e0f772d9be5f0	AM_F_9521_s + AM_F_9521	4
5f38c79c711ed776	88f555666b1d32e4	HD_F_9710_s + HD_F_9710	8
601e91df476dfea9	b7d5bc9ad142c69f	LG_M_9360_s + LG_M_9360	6
604ed3e664fcb889	5b025ef6034a6ebf	BD_A_9200_1_s + BD_A_9200_1	4
61460d76560956a9	9262d3d015865e9f	HD_M_9521_HD_F_9521_s + HD_M_9521_HD_F_9521	2
6226ebb480dc9400	707b05468a039a1e	AM_A_8200_s + AM_A_8200	2
62df1d15f5da9cd5	886e58df3aa8e613	BD_A_9509_BD_A_9500_1_s + BD_A_9509_BD_A_9500_1	10
63b12e0ec31b9cc2	bc04a67254c8a378	LG_F_9529_LG_F_9521_s + LG_F_9529_LG_F_9521	8
63ca919020287584	00b89bc367aba7ba	HD_A_9560_s + HD_A_9560	4
63d3b2f08633eb22	3b0f959565284b98	BD_M_9740_1_s + BD_M_9740_1	4
63e83dd6d2982095	07177b1cc47f41d3	BD_A_8200_2_s + BD_A_8200_2	4
63ec826ab0b90576	3bfa0f55c609b0e4	AM_M_6200_s + AM_M_6200	4
63ed5bcaed26e4fd	8879b7e787b1c74b	BD_M_9510_1_s + BD_M_9510_1	10
65c923bbc188904b	d6f418806ac0d5c1	BD_M_9380_2_s + BD_M_9380_2	10
65fab7c4a421443a	5e9afb865f00d740	BD_F_9420_1_s + BD_F_9420_1	6
6670b97e9fa04cad	66c2653c9c8167bb	LG_M_9710_LG_F_9710_s + LG_M_9710_LG_F_9710	14
66928e816b3b85c3	351e37268c10f869	BD_M_9350_1_s + BD_M_9350_1	6
66b07ce937aeb685	996839c71a55e943	HD_M_9530_s + HD_M_9530	2
6745b1ba154c40ab	ef547bdbbf0f1061	BD_A_9560_2_s + BD_A_9560_2	2
679d04e668bd1acc	5b025ff6034a7072	BD_A_9200_2_s + BD_A_9200_2	2
6889a530023e1e8f	0c5a87de310d907d	BD_F_9521_2_s + BD_F_9521_2	8
69021dfc11dcc69d	c5c0d538f58f532b	LG_M_9349_LG_M_9340_s + LG_M_9349_LG_M_9340	10
69378c818ae203e0	af179d9acc49083e	LG_M_9200_s + LG_M_9200	2
6960c70abd8d4a94	68d90fd1d2c5730a	LG_F_9371_s + LG_F_9371	2
696c2a47c19558ea	01b3953ef3405cb0	BD_M_9300_1_s + BD_M_9300_1	6
698b26bf5ca4bba5	886e10772d9be7a3	AM_F_9520_s + AM_F_9520	4
69f53912b81febc1	c7a82714f101c647	AM_F_9510_AM_M_9510_s + AM_F_9510_AM_M_9510	2
69fda3c95edd6593	da16db7d6a3ed2b9	BD_A_9630_2_s + BD_A_9630_2	2
6a2d4e15f99aff18	886e59df3aa8e7c6	BD_A_9509_BD_A_9500_2_s + BD_A_9509_BD_A_9500_2	4
6b1e3e74986c50dd	43b9e4c41792d16b	AM_F_9610_AM_M_9610_s + AM_F_9610_AM_M_9610	2
6bb40771faf9563d	6c4c821a8d67588b	LG_F_2560_LG_M_2560_s + LG_F_2560_LG_M_2560	6
6be1c71a722f29e1	9a93fa77381f55a7	AM_F_9300_s + AM_F_9300	2
6bf2cddbdf6d68d9	7a9526b2752f264f	BD_M_9349_BD_M_9340_1_s + BD_M_9349_BD_M_9340_1	10
6c166ccaf1a267a0	8879b8e787b1c8fe	BD_M_9510_2_s + BD_M_9510_2	10
6c5537dc76ea188b	dc14f680f1dea601	BD_A_underwear_s + BD_A_underwear	40
6d39e44be574189c	6ede9f771f40bd82	AM_F_9620_s + AM_F_9620	8
6e5babece178710c	c9dc909adbab5eb2	LG_M_9550_s + LG_M_9550	6
6e9d6ed6d93d5ed8	07177c1cc47f4386	BD_A_8200_1_s + BD_A_8200_1	12
6f2a35a05f3abe53	983e8a7122788079	LG_M_2550_s + LG_M_2550	2
6f8726c0736122d4	019dea2c07dd144a	AM_M_9540_s + AM_M_9540	2
704eb51b3f83f7cd	c3ed3a0bbb7d219b	BD_F_9300_1_s + BD_F_9300_1	6
70705176e5ade1e1	38f5e87918f74da7	AM_M_2520_s + AM_M_2520	4
70822006f0b9e591	a6bd8ea3c6142a97	AM_F_9260_AM_M_9260_s + AM_F_9260_AM_M_9260	4
7189e00ac208dacf	68d910d1d2c574bd	LG_F_9370_s + LG_F_9370	2
722e9b1405e2a89e	a5643037356df9dc	BD_M_9220_2_s + BD_M_9220_2	4
724f5fe11b342205	cf6e2339c3593fb8	BD_F_body_s + BD_M_body	15
724f5fe11b342205	e17fd5d9c574e8c3	BD_F_body_s + BD_F_body	96
72a18af0c594b403	f33410384a73fea9	BD_M_9379_BD_M_9372_1_s + BD_M_9379_BD_M_9372_1	2
73bda1dad0acf6c1	dc7cfa17944ad947	HD_F_9540_HD_M_9540_s + HD_F_9540_HD_M_9540	2
73f2d61cfbe22522	1b17fbca50f5f598	BD_A_9310_2_s + BD_A_9310_2	10
74eb0131ceaee915	5cb9f89ff0f55653	LG_F_2520_LG_M_2520_s + LG_F_2520_LG_M_2520	10
75ea2244fcfc2c79	6fa5e965f3823f2f	AM_F_9720_AM_M_9720_s + AM_F_9720_AM_M_9720	2
76140deeba2a31fb	b7dc489ad1482031	LG_M_9380_s + LG_M_9380	6
7615a43cc15e9332	1d060f67201eb268	HD_A_2570_s + HD_A_2570	2
76a7fedbe612a71c	7a9527b2752f2802	BD_M_9349_BD_M_9340_2_s + BD_M_9349_BD_M_9340_2	8
76c6f2f3620938f0	a0cb74c71e28b88e	HD_M_9450_s + HD_M_9450	4
773e6dc6c5ba5e79	2f69bf742897212f	LG_F_9390_LG_M_9390_s + LG_F_9390_LG_M_9390	8
777ede2aecc3d102	777ed02aecc3b938	BD_M_body_s + BD_M_body_M	1
777ede2aecc3d102	cf6e2339c3593fb8	BD_M_body_s + BD_M_body	110
779cc61b434423b0	c3ed3b0bbb7d234e	BD_F_9300_2_s + BD_F_9300_2	6
779db5848b22353e	f7b35ec36275b3bc	HD_A_9250_s + HD_A_9250	8
783c54d22fd04925	d51fd8c73be63923	HD_M_9260_s + HD_M_9260	8
78d0189c0bde70d5	6623900562fc9a13	LG_F_2550_LG_M_2550_s + LG_F_2550_LG_M_2550	2
7aacf52ae891ad75	993b4c50cd8084f3	LG_M_9289_LG_M_9280_s + LG_M_9289_LG_M_9280	6
7b4c7b1113f19fcd	de23edc3541a899b	HD_A_9130_s + HD_A_9130	4
7baa68dab18fa147	01a85c2c07e62a85	AM_M_9530_s + AM_M_9530	2
7c69f2a0511789cd	bceba30811c8639b	BD_M_2520_1_s + BD_M_2520_1	9
7d061d98509daab9	3e5fdb5f72c5166f	BD_M_9440_2_L_s + BD_M_9440_2_L	5
7d150c3f74f0c928	aefc8d9acc322556	LG_M_9280_s + LG_M_9280	6
