# DSRRL SpecRGB exact logical-name corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# recovered symbol: k_spec_names
# exact logical-name count: 769
spec_hash	logical_name
5d09c8ac7a68943c	bd_m_9341_2_s
5d7a47d02e8c794b	hd_m_9341_s
5ea13d4f17f44785	am_a_9200_s
5eab8652d8267fe8	am_m_9320_s
5eac960ab6e9bf51	lg_f_9372_s
5ed60dbf55ffa62a	am_f_9521_s
5f38c79c711ed776	hd_f_9710_s
5f84de8f09597085	wp_a_0268_s
601e91df476dfea9	lg_m_9360_s
6044befa4ac632ba	wp_a_1002_s
604ed3e664fcb889	bd_a_9200_1_s
61460d76560956a9	hd_m_9521_hd_f_9521_s
6226ebb480dc9400	am_a_8200_s
62df1d15f5da9cd5	bd_a_9509_bd_a_9500_1_s
62fc082f8959bf62	wp_a_1103_s
63b12e0ec31b9cc2	lg_f_9529_lg_f_9521_s
63b176d72855b34e	wp_a_1536_s
63ca919020287584	hd_a_9560_s
63d3b2f08633eb22	bd_m_9740_1_s
63e83dd6d2982095	bd_a_8200_2_s
63ec826ab0b90576	am_m_6200_s
63ed5bcaed26e4fd	bd_m_9510_1_s
644555ce9c04b58c	wp_a_1509_s
64ae31f63f671b35	hd_a_9101_s
652036340de3adb5	wp_a_0105_s
65c923bbc188904b	bd_m_9380_2_s
65fab7c4a421443a	bd_f_9420_1_s
6670b97e9fa04cad	lg_m_9710_lg_f_9710_s
66928e816b3b85c3	bd_m_9350_1_s
66b07ce937aeb685	hd_m_9530_s
66e2c87b4f3df9ad	wp_a_0916_s
6745b1ba154c40ab	bd_a_9560_2_s
679d04e668bd1acc	bd_a_9200_2_s
68212c1e315eb21d	am_m_9420_s
686cd7fa4f400ff5	wp_a_1003_s
6889a530023e1e8f	bd_f_9521_2_s
69021dfc11dcc69d	lg_m_9349_lg_m_9340_s
69378c818ae203e0	lg_m_9200_s
6960c70abd8d4a94	lg_f_9371_s
696c2a47c19558ea	bd_m_9300_1_s
698b26bf5ca4bba5	am_f_9520_s
69f53912b81febc1	am_f_9510_am_m_9510_s
69fda3c95edd6593	bd_a_9630_2_s
6a2d4e15f99aff18	bd_a_9509_bd_a_9500_2_s
6b1e3e74986c50dd	am_f_9610_am_m_9610_s
6ba730bb84094caa	wp_a_1200_s
6bb40771faf9563d	lg_f_2560_lg_m_2560_s
6bd98fd72ccf9089	wp_a_1537_s
6be1c71a722f29e1	am_f_9300_s
6bec4bc857cadf5f	wp_a_1513_s
6bf2cddbdf6d68d9	bd_m_9349_bd_m_9340_1_s
6c166ccaf1a267a0	bd_m_9510_2_s
6ce2d3ff65aa3dd2	wp_a_0603_s
6d39e44be574189c	am_f_9620_s
6db1412f8fff0b3d	wp_a_1102_s
6e31d97b52ffd890	wp_a_0915_s
6e50fd199d33a6ca	wp_a_0654_s
6e5babece178710c	lg_m_9550_s
6e9d6ed6d93d5ed8	bd_a_8200_1_s
6ea085ad9167f560	wp_a_1549_s
6f2a35a05f3abe53	lg_m_2550_s
6f8726c0736122d4	am_m_9540_s
704eb51b3f83f7cd	bd_f_9300_1_s
70705176e5ade1e1	am_m_2520_s
70822006f0b9e591	am_f_9260_am_m_9260_s
70eb79f0c4c81192	wp_a_1301_s
7189e00ac208dacf	lg_f_9370_s
722e9b1405e2a89e	bd_m_9220_2_s
7252a3ca2b8edb65	wp_a_0703_s
72a18af0c594b403	bd_m_9379_bd_m_9372_1_s
732208fa55e54e38	wp_a_1000_s
7327c0d7308ff2cc	wp_a_1534_s
73bda1dad0acf6c1	hd_f_9540_hd_m_9540_s
73f2d61cfbe22522	bd_a_9310_2_s
74a05a9e7b5c0017	wp_a_0208_s
74eb0131ceaee915	lg_f_2520_lg_m_2520_s
756fa7cea5b24a22	wp_a_1507_s
75d9522f9478dae0	wp_a_1101_s
75ea2244fcfc2c79	am_f_9720_am_m_9720_s
75efbead952a183b	wp_a_1548_s
76140deeba2a31fb	lg_m_9380_s
7615a43cc15e9332	hd_a_2570_s
76498034178f81b3	wp_a_0107_s
765c49bb8aae6225	wp_a_1201_s
76a5b14cba115219	hr_f_0009_l_s
76a7fedbe612a71c	bd_m_9349_bd_m_9340_2_s
76c607c092b80038	hr_m_0006_wave_s
76c6f2f3620938f0	hd_m_9450_s
773e6dc6c5ba5e79	lg_f_9390_lg_m_9390_s
779cc61b434423b0	bd_f_9300_2_s
779db5848b22353e	hd_a_9250_s
783c54d22fd04925	hd_m_9260_s
78d0189c0bde70d5	lg_f_2550_lg_m_2550_s
78e7127b59a5246b	wp_a_0914_s
79061619a3d8bc45	wp_a_0655_s
7913b2f0c942252d	wp_a_1300_s
7aacf52ae891ad75	lg_m_9289_lg_m_9280_s
7aef4195840f0f42	wp_a_0401_s
7af5aca0a050ba18	wp_a_0810_s
7b4c7b1113f19fcd	hd_a_9130_s
7baa68dab18fa147	am_m_9530_s
7c2ed4ca317c28e8	wp_a_0700_s
7c69f2a0511789cd	bd_m_2520_1_s
7d061d98509daab9	bd_m_9440_2_l_s
7d150c3f74f0c928	lg_m_9280_s
7d2ed7cce732c74d	lg_f_9550_lg_m_9550_s
7d3d882da362be4f	am_m_9440_s
7d98a0c74dd924ba	bd_a_9490_1_s
7d98b9341b51a48e	wp_a_0100_s
7ddcf9d737353ea7	wp_a_1535_s
7dff35f09513767b	bd_m_9740_2_s
7e42684605fc52d3	am_m_9260_s
7e7cda7bb7d54c61	bd_m_9540_2_s
7f4d1ac4b248a873	bd_f_9420_2_s
7f55739e82011592	wp_a_0207_s
7f5c2b7b5cad6d26	wp_a_0913_s
7f84acc48a374578	wp_a_1404_s
7fc01dff70c95950	wp_a_0601_s
7ff49f48309839a1	lg_m_9230_lg_f_9230_s
808fd7023a2ba50c	am_a_9290_s
80d8f29d88507d02	hd_m_9320_s
812cbd62e44e9da1	lg_f_2570_lg_m_2570_s
812e4719a852c248	wp_a_0656_s
819d0ad124ee1da4	am_m_9610_s
81e48d47cf031963	bd_m_9300_2_s
820d4623cee9c74c	lg_f_9520_s
82428bd2776f329c	lg_m_9460_s
827a5dd542b455da	hd_a_5320_s
831ec5a0a4cc4a53	wp_a_0811_s
836347051632ef95	lg_f_9210_lg_m_9210_s
83b803a054d7b5b0	bd_m_2520_2_s
84311972c0f47ae9	bd_a_9290_2_s
84e6f1ceadee3ca0	wp_a_1505_s
84f20b7bbaddbde4	bd_m_9540_1_s
84fe3140fc26d7de	hr_f_0009_s
855ce01f0757154b	hr_m_0010_s
85a47a958ab45b1d	wp_a_0400_s
85c0d2341fcb81c9	wp_a_0101_s
860444489f3201ca	am_f_9460_s
866d96a31f9800f5	hd_f_9280_hd_m_9280_s
86b7468b6a059f18	wp_a_0502_s
86d2b9afd36893bd	lg_m_2570_s
876842cef0491032	bd_m_2550_s
877dac9e867b292d	wp_a_0206_s
881b6746c5597a31	bd_a_9500_2_s
887d6019ac14aec3	wp_a_0657_s
887e6a2034f14fba	am_m_9340_s
88d25c2218f9f4a9	am_a_9509_am_a_9500_s
88f736d40ae79de6	am_a_9630_s
895fc5c49022b733	wp_a_1405_s
896236ef80a9d251	am_m_9389_am_m_9380_s
89f16daca438c0e3	lg_m_9300_s
8a11647b6352b901	wp_a_0912_s
8b17fcf0d3a94feb	wp_a_1302_s
8bbfe48e545ac0d6	bd_f_9341_1_s
8c198b958dbc9640	wp_a_0403_s
8c3552168ec7e049	lg_m_9500_s
8c5a1e1414c233f7	bd_m_9220_1_s
8ca12a15ee598f5a	hr_m_0008_s
8cc27f23d58f1327	lg_f_9521_s
8d0c2f12d9e0acd4	am_a_9470_s
8d5e772b0e5127f1	lg_f_9220_lg_m_9220_s
8d8eed745b83a675	wp_a_0251_s
8dd965365e38f675	bd_f_9400_bd_m_9400_1_s
8df09dc8fcbd3451	am_f_5320_am_m_5320_s
8e175c95318c1739	bd_a_9600_s
8e1e591d0ac1b07b	bd_a_9310_1_s
8e40d4a72824d3d6	bd_a_9570_2_s
8ee05f8b6e812f53	wp_a_0503_s
