label	receiver_class	dsr_size	dsr_sha256	ptde_hemenv_size	ptde_hemenv_sha256	ptde_hemenvlerp_size	ptde_hemenvlerp_sha256	source_zip_sha256
FRPG_Phn_DifSpc___MulLitSdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	25316	1767a2154b0d3a0ce4a583d884b33fb145afaa59a53edaee483a2c19de385b4b	5508	c15d5c8c24bc79b48cdfd90906912721a6ccefb4b9287b63b8b3efa97ad3aec4	5868	a05759ba754ef816f361c9e7f44ff37fdb014f10dfa37f786cbcb35091693c0e	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___MulLit____HemEnvPntSS.fpo	fixed_spc_pntss	18668	e6c7deaf7103c0b853966994356c258eb26293f5bdb353ec7922a8aeb40e2947	3372	f7ae787bb140f94615a118d2422c11216d1779a6f2e0824fb43cb449740c2aab	3732	a6a8d32b9d8fd657c2f4a063dba0af76c4c7bd8faebe79542bc69503baea4939	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___MulLit____HemEnvPntSSSS.fpo	fixed_spc_pntssss	22284	fb7d3c8f7bb97738155552083a466a0af33659549d823514f9ea11f3d936051c	4012	f69f201cf4db6aa9f70a79da3eba8f99ff80b2284cb36c2c7df42db23304d136	4372	bab71e5b30ced4843416b11487aa989c4d57f939d26c051a7b95aed74684702c	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___Mul___Csd_HemEnvPntSS.fpo	fixed_spc_pntss	22308	0edb75fc1a808458aabd61349fe17ac81e3f8b3ead9c60a7e583f3ea1a2e5210	5584	9cc632c0c5fd7750df27685af4bcf54b419b695e58eb986990ab9c89999fc114	5944	78a7044d3a406fbc9c8ef52eca5b682eecd97cfce6529512832e2504ad26abeb	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___Mul___Csd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	25924	3c18ba9b75bd41d09f49e5a9d401410d8857eb3613b7e11c9d4fedc75a69f693	6224	4495d104850cc6b9d2c30e407fb72fd2c63f9f2b3fbca3807a2355f363f4d038	6584	a4f450efe597c6dd71fa33dfc9ac942f7ad49afa2f3e3994f36a51526afcd96b	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___Mul___Sdw_HemEnvPntSS.fpo	fixed_spc_pntss	21244	64a1a77dbd8b33e574b1e39db94fce9c92f726f4a86c882d04469b59061e64c4	4768	5139fbe582fbca918119ec126c6250f39202e60958b53e0c74e4efa0ee106ca9	5128	36f4d6417616d2b82874e68a4b0250b00dc52e1d69d66ccaa42e2b134e0dee42	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___Mul___Sdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	24860	f7e979dff28656cb38b8523d8caff3ffee8db0859d632498bc8cf3dc358d383a	5408	5e01aa6f5a66c646bb38ff1b27ebab9c4e680aaa14a37aebebc87fdbc027ed57	5768	15ee2b500ace39c45f710e651e2ddf01bfffdd4d12ad711a3a947962d2dae27e	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___Mul_______HemEnvPntSS.fpo	fixed_spc_pntss	18216	096c4cd1cf0b391f48c173f93a86902e3934a759f6bce9290aeb34271779d80b	3256	dd64c60405fb53abcdfba23483323a60f54545c8135364cc64c4d1feecfef5e7	3628	dd5e44121aeb3ff706286e7870899632265bd64f4a4b7fe99a8c5e6aad78f9ad	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___Mul_______HemEnvPntSSSS.fpo	fixed_spc_pntssss	21740	fe0a7b42cb37724b9330bb4504342a4d1cbef6c67e5885bcbc98a39deaff4637	3896	ca20c77b51c6c28ece5e66db7a751940d4ee2de2fecf4de9c08d49308895a693	4268	a86ad2bc9e760652812c70dc65f912a4efb9276e2e479c84515e800dd97ff3db	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc______LitCsd_HemEnvPntSS.fpo	fixed_spc_pntss	22792	85de4a02d096c937240198d7a5f3449ae90c02d4cd8f399f57d06450cc82e3ff	5460	b6a0270bcf187c0cdaf24640318c08bb5a35ed0e4c5e34fb542293b068fb16d6	5820	f43b2d66359132fa8e3482a6b47c5f29b8317c8033e10814998f1aa3b30ad415	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc______LitCsd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	26352	cdfd0adfbd11b8942369dcc91cd44b3863ed6c6dd6a6be1303e9a734874ece32	6100	b1a2979184208a23a458a25498a0b5aa39afc456d06089c3ffa3bef0908b904c	6460	9978cc7f27ae7bba5f8e143b83e242b6c98636ef5930395843a82d4f08cedd06	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc______LitSdw_HemEnvPntSS.fpo	fixed_spc_pntss	21764	55662083e8b19bb1c7b9ff21ea2e104312ed8fdc217dc39cf225ae485c476adf	4644	a8f92423a3ef078341581f1664ff9960e8c8319740e80b1c0feb854e16d3df0a	5004	bd6c4e91e3a0acd329479ae167381bd75aacc02433cd14216255eb3f94f6566f	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc______LitSdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	25380	6efa48367fbd7c0448b516849531aa6cc303f351d20ceab943c436377ee05e8b	5284	83e3ad27202c887f8c00d92aae74fff0856fbe52954c005cc6b5695da860a88a	5644	0a389f1f069e3fc17c9cec5d7a366d45af63a97c00cf6cf73917412a14120338	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc______Lit____HemEnvPntSS.fpo	fixed_spc_pntss	18696	c3d1a832a5e27fbfba72b0bea74ce4f1ca965d52c288565defeceab348eacce4	3148	5b83eaee3d5568b5c683d6de19e7b7b664f58ad05dfcf446ce3127e9eadf8268	3508	cda6f192030e9d03a7c73d6fbaaa4fc29fd2b3745d6408534ac23702f72fc35a	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc______Lit____HemEnvPntSSSS.fpo	fixed_spc_pntssss	22256	241ff1de20b33a829ad9974c4c8a0216c1e4ec1b8b504668b52cc0719da66405	3788	e05114da2709542a55952ebe9370147f1415213e608c6c0460b20eddbadbf222	4148	5e74912606f4d075a2e9e419da522923b9f138da64f1cbb3ce36483cb2259e47	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc_________Csd_HemEnvPntSS.fpo	fixed_spc_pntss	22408	d9e49ed4a2004d3798e49625b0d9f28a2bafe2d8cee13c7ea443026393f44550	5372	7c4f05e11d216c8ef24896b6500fc2607ff2b62449294c32d7b61fcf4f5b6938	5732	bd83e5d8be1b1785a5bc96700b67832e9f354f8ac47955c53512331451c8954d	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc_________Csd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	26024	1b754203020366308058accd1823d15aed3ccaf105e6153631a9543ec401475d	6012	4c81c0062f7720928edec75cc64f38ee2e1bb0696ca4ceb7d29ccfedc1197da5	6372	64b25c83308dd2835e68b083254dd45c567fbed56d925f1485ec770638904524	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc_________Sdw_HemEnvPntSS.fpo	fixed_spc_pntss	21344	3275e689d64fa2ab1fc6d37bf031d852f8f109df8205f31e54282351d95eae6c	4556	5659ce48742ee282b478bd274b3cb16128635abd7686d1cc50fbbc88f564e025	4916	a5753b43aa41b04ad4701dc31d3f8142fc61c2b74329cbf9040b1b93ff6316df	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc_________Sdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	24960	928d33c1da10debd9debc9f9b51dd5d1609a2e96e51601392c52125173cfd9f8	5196	eb081f3cee17250340d67d0852111230b9babea570ca938e0b953ac6325db946	5556	cbeceef057fa24a6d0743b3fe548d01b492c62f079da5354952f07e2a8e8e237	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc_____________HemEnvPntSS.fpo	fixed_spc_pntss	18284	fb11c93bf241354d0a426e7bf8befa5c33ab989a4a0bd3557b5eb70a03e87f9f	3044	e4d1e0fc9cc534fd9e43d850a56f7aa63d51d5425b5b1a7ffb2862abe8f70ea9	3416	120fc01a2585e7a5c4667bac5fca81db7ed81f7dd9e81c6dd8605dc6cd715df8	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc_____________HemEnvPntSSSS.fpo	fixed_spc_pntssss	21936	0a2a5f485e8eb6d9928d58a96f88327c5e3e42f04cc4d02c7ebb9a18288385ca	3684	9bea5d15d986c89d15bee69c7b4356d47958f81fd5c4afd19f36d6f73054ed26	4056	0c6d352bbc726d777305641f5f34cdc6055167a07fa93240a92414941b12c405	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
